;Estudio;Longitud listas;Vocabulario único;Población
1.0;Genero;11.698758805769875;5987;271
2.0;Genero;12.812850729517397;6336;324
3.0;Genero;16.527272727272727;612;5
1.0;Nivel educativo;10.664090909090909;4649;200
2.0;Nivel educativo;12.255454545454546;4699;200
3.0;Nivel educativo;14.102272727272727;5181;200
1.0;Nivel estudios 1 - público / privado;10.494545454545454;3074;100
2.0;Nivel estudios 1 - público / privado;10.833636363636364;3004;100
1.0;Nivel estudios 2 - público / privado;12.036363636363637;3034;100
2.0;Nivel estudios 2 - público / privado;12.474545454545455;3241;100
1.0;Nivel estudios 1 - género;10.136363636363637;3111;100
2.0;Nivel estudios 1 - género;11.058106841611997;2902;97
3.0;Nivel estudios 1 - género;15.515151515151516;341;3
1.0;Nivel estudios 2 - género;11.895032802249297;3196;97
2.0;Nivel estudios 2 - género;12.594880847308032;3048;103
1.0;Nivel estudios 3 - género;13.552825552825553;2898;74
2.0;Nivel estudios 3 - género;14.366568914956012;3882;124
3.0;Nivel estudios 3 - género;18.045454545454547;340;2
1.0;Rama universidad;13.375;1840;40
2.0;Rama universidad;15.431818181818182;2167;40
3.0;Rama universidad;16.581818181818182;2241;40
4.0;Rama universidad;13.040909090909091;1891;40
5.0;Rama universidad;12.081818181818182;1900;40
0.0;Centro de interés;14.948333333333334;1347;600
1.0;Centro de interés;12.576666666666666;1441;600
2.0;Centro de interés;12.221666666666666;1445;600
3.0;Centro de interés;14.536666666666667;1605;600
4.0;Centro de interés;11.228333333333333;1510;600
5.0;Centro de interés;14.686666666666667;1711;600
6.0;Centro de interés;11.778333333333334;1416;600
7.0;Centro de interés;8.22;1384;600
8.0;Centro de interés;9.736666666666666;1518;600
9.0;Centro de interés;11.983333333333333;1511;600
10.0;Centro de interés;13.83;1667;600
1.0;Centro de interés 0 - NivelEducativo;13.52;563;200
2.0;Centro de interés 0 - NivelEducativo;14.69;659;200
3.0;Centro de interés 0 - NivelEducativo;16.635;822;200
1.0;Centro de interés 1 - NivelEducativo;11.265;673;200
2.0;Centro de interés 1 - NivelEducativo;12.605;694;200
3.0;Centro de interés 1 - NivelEducativo;13.86;783;200
1.0;Centro de interés 2 - NivelEducativo;10.18;618;200
2.0;Centro de interés 2 - NivelEducativo;12.57;681;200
3.0;Centro de interés 2 - NivelEducativo;13.915;781;200
1.0;Centro de interés 3 - NivelEducativo;13.38;716;200
2.0;Centro de interés 3 - NivelEducativo;14.39;758;200
3.0;Centro de interés 3 - NivelEducativo;15.84;908;200
1.0;Centro de interés 4 - NivelEducativo;9.49;675;200
2.0;Centro de interés 4 - NivelEducativo;11.125;728;200
3.0;Centro de interés 4 - NivelEducativo;13.07;805;200
1.0;Centro de interés 5 - NivelEducativo;12.8;783;200
2.0;Centro de interés 5 - NivelEducativo;14.78;792;200
3.0;Centro de interés 5 - NivelEducativo;16.48;921;200
1.0;Centro de interés 6 - NivelEducativo;10.455;610;200
2.0;Centro de interés 6 - NivelEducativo;11.555;651;200
3.0;Centro de interés 6 - NivelEducativo;13.325;806;200
1.0;Centro de interés 7 - NivelEducativo;6.485;477;200
2.0;Centro de interés 7 - NivelEducativo;8.095;602;200
3.0;Centro de interés 7 - NivelEducativo;10.08;783;200
1.0;Centro de interés 8 - NivelEducativo;7.995;626;200
2.0;Centro de interés 8 - NivelEducativo;9.425;683;200
3.0;Centro de interés 8 - NivelEducativo;11.79;794;200
1.0;Centro de interés 9 - NivelEducativo;9.42;604;200
2.0;Centro de interés 9 - NivelEducativo;12.33;736;200
3.0;Centro de interés 9 - NivelEducativo;14.2;839;200
1.0;Centro de interés 10 - NivelEducativo;12.315;796;200
2.0;Centro de interés 10 - NivelEducativo;13.245;763;200
3.0;Centro de interés 10 - NivelEducativo;15.93;916;200
1.0;Centro de interés 0 - RamaDeLaUniversidad;15.1;266;40
2.0;Centro de interés 0 - RamaDeLaUniversidad;18.45;300;40
3.0;Centro de interés 0 - RamaDeLaUniversidad;19.9;341;40
4.0;Centro de interés 0 - RamaDeLaUniversidad;14.375;258;40
5.0;Centro de interés 0 - RamaDeLaUniversidad;15.35;285;40
1.0;Centro de interés 1 - RamaDeLaUniversidad;13.175;271;40
2.0;Centro de interés 1 - RamaDeLaUniversidad;14.975;302;40
3.0;Centro de interés 1 - RamaDeLaUniversidad;15.625;305;40
4.0;Centro de interés 1 - RamaDeLaUniversidad;12.7;238;40
5.0;Centro de interés 1 - RamaDeLaUniversidad;12.825;278;40
1.0;Centro de interés 2 - RamaDeLaUniversidad;14.05;264;40
2.0;Centro de interés 2 - RamaDeLaUniversidad;15.85;290;40
3.0;Centro de interés 2 - RamaDeLaUniversidad;15.15;258;40
4.0;Centro de interés 2 - RamaDeLaUniversidad;12.425;260;40
5.0;Centro de interés 2 - RamaDeLaUniversidad;12.1;237;40
1.0;Centro de interés 3 - RamaDeLaUniversidad;14.975;302;40
2.0;Centro de interés 3 - RamaDeLaUniversidad;17.05;329;40
3.0;Centro de interés 3 - RamaDeLaUniversidad;17.85;319;40
4.0;Centro de interés 3 - RamaDeLaUniversidad;15.4;319;40
5.0;Centro de interés 3 - RamaDeLaUniversidad;13.925;311;40
1.0;Centro de interés 4 - RamaDeLaUniversidad;11.975;240;40
2.0;Centro de interés 4 - RamaDeLaUniversidad;13.7;267;40
3.0;Centro de interés 4 - RamaDeLaUniversidad;14.9;303;40
4.0;Centro de interés 4 - RamaDeLaUniversidad;12.6;277;40
5.0;Centro de interés 4 - RamaDeLaUniversidad;12.175;278;40
1.0;Centro de interés 5 - RamaDeLaUniversidad;16.325;290;40
2.0;Centro de interés 5 - RamaDeLaUniversidad;17.125;330;40
3.0;Centro de interés 5 - RamaDeLaUniversidad;18.875;362;40
4.0;Centro de interés 5 - RamaDeLaUniversidad;14.65;296;40
5.0;Centro de interés 5 - RamaDeLaUniversidad;15.425;329;40
1.0;Centro de interés 6 - RamaDeLaUniversidad;12.575;255;40
2.0;Centro de interés 6 - RamaDeLaUniversidad;14.1;272;40
3.0;Centro de interés 6 - RamaDeLaUniversidad;16.5;292;40
4.0;Centro de interés 6 - RamaDeLaUniversidad;12.175;253;40
5.0;Centro de interés 6 - RamaDeLaUniversidad;11.275;241;40
1.0;Centro de interés 7 - RamaDeLaUniversidad;9.525;226;40
2.0;Centro de interés 7 - RamaDeLaUniversidad;11.7;281;40
3.0;Centro de interés 7 - RamaDeLaUniversidad;12.75;297;40
4.0;Centro de interés 7 - RamaDeLaUniversidad;8.675;224;40
5.0;Centro de interés 7 - RamaDeLaUniversidad;7.75;193;40
1.0;Centro de interés 8 - RamaDeLaUniversidad;10.675;234;40
2.0;Centro de interés 8 - RamaDeLaUniversidad;14.15;317;40
3.0;Centro de interés 8 - RamaDeLaUniversidad;14.375;314;40
4.0;Centro de interés 8 - RamaDeLaUniversidad;11.075;250;40
5.0;Centro de interés 8 - RamaDeLaUniversidad;8.675;203;40
1.0;Centro de interés 9 - RamaDeLaUniversidad;13.65;281;40
2.0;Centro de interés 9 - RamaDeLaUniversidad;15.15;301;40
3.0;Centro de interés 9 - RamaDeLaUniversidad;17.05;307;40
4.0;Centro de interés 9 - RamaDeLaUniversidad;14.05;318;40
5.0;Centro de interés 9 - RamaDeLaUniversidad;11.1;231;40
1.0;Centro de interés 10 - RamaDeLaUniversidad;15.1;296;40
2.0;Centro de interés 10 - RamaDeLaUniversidad;17.5;351;40
3.0;Centro de interés 10 - RamaDeLaUniversidad;19.425;347;40
4.0;Centro de interés 10 - RamaDeLaUniversidad;15.325;305;40
5.0;Centro de interés 10 - RamaDeLaUniversidad;12.3;276;40
1.0;Centro de interés 0 - ESO - CentroPublicoOPrivado;13.24;339;100
2.0;Centro de interés 0 - ESO - CentroPublicoOPrivado;13.8;413;100
1.0;Centro de interés 1 - ESO - CentroPublicoOPrivado;9.94;406;100
2.0;Centro de interés 1 - ESO - CentroPublicoOPrivado;12.59;446;100
1.0;Centro de interés 2 - ESO - CentroPublicoOPrivado;9.51;360;100
2.0;Centro de interés 2 - ESO - CentroPublicoOPrivado;10.85;410;100
1.0;Centro de interés 3 - ESO - CentroPublicoOPrivado;12.87;404;100
2.0;Centro de interés 3 - ESO - CentroPublicoOPrivado;13.89;504;100
1.0;Centro de interés 4 - ESO - CentroPublicoOPrivado;9.66;422;100
2.0;Centro de interés 4 - ESO - CentroPublicoOPrivado;9.32;416;100
1.0;Centro de interés 5 - ESO - CentroPublicoOPrivado;13.04;494;100
2.0;Centro de interés 5 - ESO - CentroPublicoOPrivado;12.56;492;100
1.0;Centro de interés 6 - ESO - CentroPublicoOPrivado;10.28;357;100
2.0;Centro de interés 6 - ESO - CentroPublicoOPrivado;10.63;381;100
1.0;Centro de interés 7 - ESO - CentroPublicoOPrivado;6.52;298;100
2.0;Centro de interés 7 - ESO - CentroPublicoOPrivado;6.45;280;100
1.0;Centro de interés 8 - ESO - CentroPublicoOPrivado;8.63;419;100
2.0;Centro de interés 8 - ESO - CentroPublicoOPrivado;7.36;317;100
1.0;Centro de interés 9 - ESO - CentroPublicoOPrivado;8.75;342;100
2.0;Centro de interés 9 - ESO - CentroPublicoOPrivado;10.09;404;100
1.0;Centro de interés 10 - ESO - CentroPublicoOPrivado;13.0;537;100
2.0;Centro de interés 10 - ESO - CentroPublicoOPrivado;11.63;461;100
1.0;Centro de interés 0 - Bachiller - CentroPublicoOPrivado;14.45;435;100
2.0;Centro de interés 0 - Bachiller - CentroPublicoOPrivado;14.93;430;100
1.0;Centro de interés 1 - Bachiller - CentroPublicoOPrivado;12.2;463;100
2.0;Centro de interés 1 - Bachiller - CentroPublicoOPrivado;13.01;429;100
1.0;Centro de interés 2 - Bachiller - CentroPublicoOPrivado;12.67;415;100
2.0;Centro de interés 2 - Bachiller - CentroPublicoOPrivado;12.47;434;100
1.0;Centro de interés 3 - Bachiller - CentroPublicoOPrivado;13.8;456;100
2.0;Centro de interés 3 - Bachiller - CentroPublicoOPrivado;14.98;510;100
1.0;Centro de interés 4 - Bachiller - CentroPublicoOPrivado;11.4;448;100
2.0;Centro de interés 4 - Bachiller - CentroPublicoOPrivado;10.85;451;100
1.0;Centro de interés 5 - Bachiller - CentroPublicoOPrivado;14.59;517;100
2.0;Centro de interés 5 - Bachiller - CentroPublicoOPrivado;14.97;495;100
1.0;Centro de interés 6 - Bachiller - CentroPublicoOPrivado;12.31;440;100
2.0;Centro de interés 6 - Bachiller - CentroPublicoOPrivado;10.8;373;100
1.0;Centro de interés 7 - Bachiller - CentroPublicoOPrivado;8.07;356;100
2.0;Centro de interés 7 - Bachiller - CentroPublicoOPrivado;8.12;369;100
1.0;Centro de interés 8 - Bachiller - CentroPublicoOPrivado;8.73;378;100
2.0;Centro de interés 8 - Bachiller - CentroPublicoOPrivado;10.12;462;100
1.0;Centro de interés 9 - Bachiller - CentroPublicoOPrivado;11.38;431;100
2.0;Centro de interés 9 - Bachiller - CentroPublicoOPrivado;13.28;502;100
1.0;Centro de interés 10 - Bachiller - CentroPublicoOPrivado;12.8;477;100
2.0;Centro de interés 10 - Bachiller - CentroPublicoOPrivado;13.69;495;100
